az_sect,alt_sect,az_rel,alt_rel,rec_x,rec_y,type,misc,out1,out2,az_total,alt_total,px_x,px_y,az,alt
,,,,,,camera_name,Slayer Mobile,,,,,,,,
,,,,4000,3000,sensor_dimensions,,,,,,,,,
,,,,,,lens_name,native,,,,,,,,
,,,,,,zoom_factor,1,,,,,,,,
,,,,,,settings_notes,Nothing to say,,,,,,,,
,,,,4000,2250,cal_image_dimensions,,,,,,,,,
,,,,,,pixel_map_type,3d_degree_poly_fit_abs_from_center,,,,,,,,
,,,,,,orientation,portrait,,,,,,,,
,,,,,,quadrant,LB,,,,,,,,
,,,,,,targets_diameter,1,,,,,,,,
0,0,0,0,-1,-1,ref_point,image_center,,,,,,,,
0,0,0,0,,,calculate_and_record,this_section_crosshairs,,,,,,,,
0,0,0,0,1122,2000,align,target_center,,,,,,,,
0,0,0,0,1122,1976,align,target_top,,,,,,,,
0,0,0,0,1121,2023,align,target_bottom,,,,,,,,
0,0,0,0,1098,1999,align,target_left,,,,,,,,
0,0,0,0,1145,1999,align,target_right,,,,,,,,
0,0,0,0,,,calculate_and_record,target_pos_azalt_relaim,,,,,,,,
0,0,0,0,,,calculate_and_record,target_center_calculated_from_edges,,,,,,,,
0,0,0,-20,1118,3005,align,vertical_left,,,,,,,,
0,0,0,-20,1169,3004,align,vertical_right,,,,,,,,
0,0,0,-20,1142.5,3004.5,ref_point,center,,,,,,,,
0,0,0,-20,,,calculate_and_record,rotation_error_v_and_px_delta,,,,,,,,
0,0,0,-20,,,calculate_and_record,crosshairs,,,,,,,,
0,0,-15,0,384,1989,align,horizontal_top,,,,,,,,
0,0,-15,0,385,2038,align,horizontal_bottom,,,,,,,,
0,0,-15,0,384,2013,ref_point,center,,,,,,,,
0,0,-15,0,,,calculate_and_record,rotation_error_h_and_px_delta,,,,,,,,
0,0,-15,0,,,calculate_and_record,crosshairs,,,,,,,,
0,0,0,-5,1127,2239,ref_point,,,,,,,,,
0,0,0,-10,1133,2485,ref_point,,,,,,,,,
0,0,0,-15,1137.5,2737,ref_point,,,,,,,,,
0,0,-5,0,881,2003,ref_point,,,,,,,,,
0,0,-5,-5,887,2243,ref_point,,,,,,,,,
0,0,-5,-10,893,2489,ref_point,,,,,,,,,
0,0,-5,-15,897,2740,ref_point,,,,,,,,,
0,0,-10,0,637,2009,ref_point,,,,,,,,,
0,0,-10,-5,642,2249,ref_point,,,,,,,,,
0,0,-10,-10,648,2494,ref_point,,,,,,,,,
0,0,-10,-15,652,2747,ref_point,,,,,,,,,
0,-20,0,0,,,calculate_and_record,this_section_crosshairs,,,,,,,,
0,-20,0,0,1131,3157,align,target_center,,,,,,,,
0,-20,0,0,1131,3128,align,target_top,,,,,,,,
0,-20,0,0,1132,3186,align,target_bottom,,,,,,,,
0,-20,0,0,1104,3157,align,target_left,,,,,,,,
0,-20,0,0,1158,3156,align,target_right,,,,,,,,
0,-20,0,0,,,calculate_and_record,target_pos_azalt_relaim,,,,,,,,
0,-20,0,0,,,calculate_and_record,target_center_calculated_from_edges,,,,,,,,
0,-20,0,-20,,,align,vertical_left,,,,,,,,
0,-20,0,-20,,,align,vertical_right,,,,,,,,
0,-20,0,-20,,,ref_point,center,,,,,,,,
0,-20,0,-20,,,calculate_and_record,rotation_error_v_and_px_delta,,,,,,,,
0,-20,0,-20,,,calculate_and_record,crosshairs,,,,,,,,
0,-20,-15,0,304,3148,align,horizontal_top,,,,,,,,
0,-20,-15,0,299,3208,align,horizontal_bottom,,,,,,,,
0,-20,-15,0,302,3177,ref_point,center,,,,,,,,
0,-20,-15,0,,,calculate_and_record,rotation_error_h_and_px_delta,,,,,,,,
0,-20,-15,0,,,calculate_and_record,crosshairs,,,,,,,,
0,-20,0,-5,1137,3459,ref_point,,,,,,,,,
0,-20,0,-10,1146,3789,ref_point,,,,,,,,,
0,-20,0,-15,,,ref_point,,,,,,,,,
0,-20,-5,0,860,3162,ref_point,,,,,,,,,
0,-20,-5,-5,857,3465,ref_point,,,,,,,,,
0,-20,-5,-10,855,3795,ref_point,,,,,,,,,
0,-20,-5,-15,,,ref_point,,,,,,,,,
0,-20,-10,0,584,3170,ref_point,,,,,,,,,
0,-20,-10,-5,572,3473,ref_point,,,,,,,,,
0,-20,-10,-10,560,3802,ref_point,,,,,,,,,
0,-20,-10,-15,,,ref_point,,,,,,,,,
-15,0,0,0,,,calculate_and_record,this_section_crosshairs,,,,,,,,
-15,0,0,0,366,2005,align,target_center,,,,,,,,
-15,0,0,0,366,1979,align,target_top,,,,,,,,
-15,0,0,0,366,2031,align,target_bottom,,,,,,,,
-15,0,0,0,338,2006,align,target_left,,,,,,,,
-15,0,0,0,393,2005,align,target_right,,,,,,,,
-15,0,0,0,,,calculate_and_record,target_pos_azalt_relaim,,,,,,,,
-15,0,0,0,,,calculate_and_record,target_center_calculated_from_edges,,,,,,,,
-15,0,-15,0,,,align,horizontal_top,,,,,,,,
-15,0,-15,0,,,align,horizontal_bottom,,,,,,,,
-15,0,-15,0,,,ref_point,center,,,,,,,,
-15,0,-15,0,,,calculate_and_record,rotation_error_h_and_px_delta,,,,,,,,
-15,0,-15,0,,,calculate_and_record,crosshairs,,,,,,,,
-15,0,0,-20,365,3116,align,vertical_left,,,,,,,,
-15,0,0,-20,424,3105,align,vertical_right,,,,,,,,
-15,0,0,-20,392,3109,ref_point,center,,,,,,,,
-15,0,0,-20,,,calculate_and_record,rotation_error_v_and_px_delta,,,,,,,,
-15,0,0,-20,,,calculate_and_record,crosshairs,,,,,,,,
-15,0,0,-5,373,2269,ref_point,,,,,,,,,
-15,0,0,-10,382,2539,ref_point,,,,,,,,,
-15,0,0,-15,386,2817,ref_point,,,,,,,,,
-15,0,-5,0,81,2012,ref_point,,,,,,,,,
-15,0,-5,-5,90,2282,ref_point,,,,,,,,,
-15,0,-5,-10,98,2560,ref_point,,,,,,,,,
-15,0,-5,-15,106,2841,ref_point,,,,,,,,,
-15,0,-10,0,,,ref_point,,,,,,,,,
-15,0,-10,-5,,,ref_point,,,,,,,,,
-15,0,-10,-10,,,ref_point,,,,,,,,,
-15,0,-10,-15,,,ref_point,,,,,,,,,
-15,-20,0,0,,,calculate_and_record,this_section_crosshairs,,,,,,,,
-15,-20,0,0,362,3142,align,target_center,,,,,,,,
-15,-20,0,0,362,3113,align,target_top,,,,,,,,
-15,-20,0,0,361,3172,align,target_bottom,,,,,,,,
-15,-20,0,0,333,3145,align,target_left,,,,,,,,
-15,-20,0,0,390,3140,align,target_right,,,,,,,,
-15,-20,0,0,,,calculate_and_record,target_pos_azalt_relaim,,,,,,,,
-15,-20,0,0,,,calculate_and_record,target_center_calculated_from_edges,,,,,,,,
-15,-20,0,-20,,,align,vertical_left,,,,,,,,
-15,-20,0,-20,,,align,vertical_right,,,,,,,,
-15,-20,0,-20,,,ref_point,center,,,,,,,,
-15,-20,0,-20,,,calculate_and_record,rotation_error_v_and_px_delta,,,,,,,,
-15,-20,0,-20,,,calculate_and_record,crosshairs,,,,,,,,
-15,-20,-15,0,,,align,horizontal_top,,,,,,,,
-15,-20,-15,0,,,align,horizontal_bottom,,,,,,,,
-15,-20,-15,0,,,ref_point,center,,,,,,,,
