xang_sect,yang_sect,xang_rel,yang_rel,x_rec,y_rec,type,misc,out1,out2,xang_total,yang_total,x_px,y_px,xang,yang
,,,,,,camera_name,Slayer 0.5 Zoom,,,,,,,,
,,,,4000,3000,sensor_dimensions,,,,,,,,,
,,,,,,lens_name,Native,,,,,,,,
,,,,,,zoom_factor,,,,,,,,,
,,,,,,settings_notes,,,,,,,,,
,,,,4000,2250,cal_image_dimensions,,,,,,,,,
,,,,,,pixel_map_type,3d_degree_poly_fit_abs_from_center,,,,,,,,
,,,,,,orientation,portrait,,,,,,,,
,,,,,,quadrant,LB,,,,,,,,
,,,,,,targets_diameter,1,,,,,,,,
0,0,0,0,-1,-1,ref_point,image_center,,,,,,,,
0,0,0,0,,,calculate_and_record,this_section_crosshairs,,,,,,,,
0,0,0,0,1121,2004,align,target_center,,,,,,,,
0,0,0,0,1122,1989,align,target_top,,,,,,,,
0,0,0,0,1122,2020,align,target_bottom,,,,,,,,
0,0,0,0,1106,2004,align,target_left,,,,,,,,
0,0,0,0,1137,2004,align,target_right,,,,,,,,
0,0,0,0,,,calculate_and_record,target_pos_xyangs_relaim,,,,,,,,
0,0,0,0,,,calculate_and_record,target_center_calculated_from_edges,,,,,,,,
0,0,0,-20,1110,2654,align,vertical_left,,,,,,,,
0,0,0,-20,1143,2653,align,vertical_right,,,,,,,,
0,0,0,-20,1126,2653,ref_point,center,,,,,,,,
0,0,0,-20,,,calculate_and_record,rotation_error_v_and_px_delta,,,,,,,,
0,0,0,-20,,,calculate_and_record,crosshairs,,,,,,,,
0,0,-15,0,644,1991,align,horizontal_top,,,,,,,,
0,0,-15,0,643,2022,align,horizontal_bottom,,,,,,,,
0,0,-15,0,643,2006,ref_point,center,,,,,,,,
0,0,-15,0,,,calculate_and_record,rotation_error_h_and_px_delta,,,,,,,,
0,0,-15,0,,,calculate_and_record,crosshairs,,,,,,,,
0,0,0,-5,1123,2160,ref_point,,,,,,,,,
0,0,0,-10,1125,2320,ref_point,,,,,,,,,
0,0,0,-15,1126,2482,ref_point,,,,,,,,,
0,0,-5,0,965,2004,ref_point,,,,,,,,,
0,0,-5,-5,967,2160,ref_point,,,,,,,,,
0,0,-5,-10,969,2320,ref_point,,,,,,,,,
0,0,-5,-15,970,2482,ref_point,,,,,,,,,
0,0,-10,0,806,2006,ref_point,,,,,,,,,
