x_cm,y_cm,x_rec,y_rec,type,misc,out1,out2,x_px,y_px,xang,yang
,,,,camera_name,sony a7 iii,,,,,,
,,,,lens_name,20mm Sony,,,,,,
,,,,zoom_factor,None,,,,,,
,,,,settings_notes,Nothing to say,,,,,,
,,6000,3376,cam_image_dimensions,,,,,,,
,,,,pixel_map_type,3d_degree_poly_fit_abs_from_center,,,,,,
,,,,orientation,landscape,,,,,,
,,,,quadrant,LB,,,,,,
,,,,distance,234.0,,,,,,
,,,,align_targets_radius,20.0,,,,,,
0,0,-1,-1,ref_point,image_center,,,,,,
0,0,2993,1698,align,target_center,,,,,,
0,-20,2992,1972,ref_point,y_small,,,,,,
-20,0,2714,1694,ref_point,x_small,,,,,,
0,0,,,calculate_and_record,target_pos_xyangs_relcenter,,,,,,
0,-122.1,2984,3342,ref_point,align_v_center,,,,,,
-20,-122.1,2711,3341,ref_point,align_v_left,,,,,,
0,-122.1,,,calculate_and_record,rotation_error_side_degCCW,,,,,,
-220,0,29,1677,ref_point,align_h_center,,,,,,
-220,-20,25,1948,ref_point,align_h_down,,,,,,
-220,0,,,calculate_and_record,rotation_error_top_degCCW,,,,,,
,,,,calculate_and_record,average_rotation_error_degCCW,,,,,,
0,-40,2991,2244,ref_point,,,,,,,
0,-60,2989,2516,ref_point,,,,,,,
0,-80,2987,2786,ref_point,,,,,,,
0,-100,2986,3052,ref_point,,,,,,,
-20,-20,2715,1971,ref_point,,,,,,,
-20,-40,2715,2242,ref_point,,,,,,,
-20,-60,2713,2514,ref_point,,,,,,,
-20,-80,2712,2782,ref_point,,,,,,,
-20,-100,2712,3050,ref_point,,,,,,,
-20,-122.1,,,ref_point,,,,,,,
-40,0,2437,1692,ref_point,,,,,,,
-40,-20,2441,1968,ref_point,,,,,,,
-40,-40,2441,2240,ref_point,,,,,,,
-40,-60,2441,2511,ref_point,,,,,,,
-40,-80,2442,2780,ref_point,,,,,,,
-40,-100,2442,3047,ref_point,,,,,,,
-40,-122.1,2440,3339,ref_point,,,,,,,
-60,0,2167,1689,ref_point,,,,,,,
-60,-20,2171,1966,ref_point,,,,,,,
-60,-40,2172,2237,ref_point,,,,,,,
-60,-60,2173,2508,ref_point,,,,,,,
-60,-80,2173,2778,ref_point,,,,,,,
-60,-100,2173,3045,ref_point,,,,,,,
-60,-122.1,2172,3341,ref_point,,,,,,,
-80,0,1895,1688,ref_point,,,,,,,
-80,-20,1898,1963,ref_point,,,,,,,
-80,-40,1901,2234,ref_point,,,,,,,
-80,-60,1903,2506,ref_point,,,,,,,
-80,-80,1904,2775,ref_point,,,,,,,
-80,-100,1904,3044,ref_point,,,,,,,
-80,-122.1,1904,3341,ref_point,,,,,,,
-100,0,1628,1688,ref_point,,,,,,,
-100,-20,1632,1961,ref_point,,,,,,,
-100,-40,1635,2233,ref_point,,,,,,,
-100,-60,1635,2504,ref_point,,,,,,,
-100,-80,1635,2774,ref_point,,,,,,,
-100,-100,1637,3044,ref_point,,,,,,,
-100,-122.1,1635,3341,ref_point,,,,,,,
-120,0,1362,1685,ref_point,,,,,,,
-120,-20,1366,1960,ref_point,,,,,,,
-120,-40,1369,2228,ref_point,,,,,,,
-120,-60,1369,2500,ref_point,,,,,,,
-120,-80,1368,2770,ref_point,,,,,,,
-120,-100,1369,3042,ref_point,,,,,,,
-120,-122.1,1366,3338,ref_point,,,,,,,
-140,0,1099,1684,ref_point,,,,,,,
-140,-20,1102,1956,ref_point,,,,,,,
-140,-40,1103,2224,ref_point,,,,,,,
-140,-60,1102,2496,ref_point,,,,,,,
-140,-80,1103,2767,ref_point,,,,,,,
-140,-100,1104,3037,ref_point,,,,,,,
-140,-122.1,1102,3336,ref_point,,,,,,,
-160,0,836,1682,ref_point,,,,,,,
-160,-20,838,1955,ref_point,,,,,,,
-160,-40,839,2222,ref_point,,,,,,,
-160,-60,837,2493,ref_point,,,,,,,
-160,-80,836,2764,ref_point,,,,,,,
-160,-100,836,3036,ref_point,,,,,,,
-160,-122.1,837,3333,ref_point,,,,,,,
-180,0,569,1681,ref_point,,,,,,,
-180,-20,572,1953,ref_point,,,,,,,
-180,-40,573,2223,ref_point,,,,,,,
-180,-60,570,2492,ref_point,,,,,,,
-180,-80,568,2764,ref_point,,,,,,,
-180,-100,568,3034,ref_point,,,,,,,
-180,-122.1,568,3333,ref_point,,,,,,,
-200,0,298,1677,ref_point,,,,,,,
-200,-20,299,1950,ref_point,,,,,,,
-200,-40,301,2220,ref_point,,,,,,,
-200,-60,300,2489,ref_point,,,,,,,
-200,-80,298,2761,ref_point,,,,,,,
-200,-100,297,3031,ref_point,,,,,,,
-200,-122.1,295,3331,ref_point,,,,,,,
-220,0,,,ref_point,,,,,,,
-220,-20,,,ref_point,,,,,,,
-220,-40,26,2219,ref_point,,,,,,,
-220,-60,23,2489,ref_point,,,,,,,
-220,-80,23,2760,ref_point,,,,,,,
-220,-100,22,3032,ref_point,,,,,,,
-220,-122.1,22,3331,ref_point,,,,,,,
-243.9,-20,,,ref_point,,,,,,,
-243.9,-40,,,ref_point,,,,,,,
-243.9,-60,,,ref_point,,,,,,,
-243.9,-80,,,ref_point,,,,,,,
-243.9,-100,,,ref_point,,,,,,,
-243.9,-122.1,,,ref_point,,,,,,,
