,x_cm,y_cm,x_rec,y_rec,type,misc,out1,out2,x_px,y_px,xang,yang
0,,,,,camera_name,sony a7 iii,,,,,,
1,,,,,lens_name,20mm Sony,,,,,,
2,,,,,zoom_factor,None,,,,,,
3,,,,,settings_notes,Nothing to say,,,,,,
4,,,6000.0,3376.0,cam_image_dimensions,,,,,,,
5,,,,,pixel_map_type,3d_degree_poly_fit_abs_from_center,,,,,,
6,,,,,orientation,landscape,,,,,,
7,,,,,quadrant,LB,,,,,,
8,,,,,distance,234.0,,,,,,
9,,,,,align_targets_radius,20.0,,,,,,
10,0.0,0.0,-1.0,-1.0,ref_point,image_center,,,2999.5,1687.5,0.0,0.0
11,0.0,0.0,2993.0,1698.0,align,target_center,,,,,,
12,0.0,-20.0,2992.0,1972.0,ref_point,y_small,,,2999.5,1961.5018248114418,0.0,-4.8852025681173
13,-20.0,0.0,2714.0,1694.0,ref_point,x_small,,,2720.47132763818,1687.5,-4.8852025681173,0.0
14,0.0,0.0,,,calculate_and_record,target_pos_xyangs_relcenter,-0.4659019408278847,-0.7664182533985476,,,,
15,0.0,-122.1,2984.0,3342.0,ref_point,align_v_center,,,2999.5,3331.524634851923,0.0,-27.555321907048867
16,-20.0,-122.1,2711.0,3341.0,ref_point,align_v_left,,,2711.0,3341.0,-4.813780461027285,-27.726503213785275
17,0.0,-122.1,,,calculate_and_record,rotation_error_side_degCCW,0.3093924358668643,,,,,
18,-220.0,0.0,29.0,1677.0,ref_point,align_h_center,,,35.42560822100813,1687.5,-43.23372951399095,0.0
19,-220.0,-20.0,25.0,1948.0,ref_point,align_h_down,,,25.0,1948.0,-43.27807735518795,-5.4038161511980505
20,-220.0,0.0,,,calculate_and_record,rotation_error_top_degCCW,0.40357612462974907,,,,,
21,,,,,calculate_and_record,average_rotation_error_degCCW,0.3564842802483067,,,,,
22,0.0,-40.0,2991.0,2244.0,ref_point,,,,2999.5,2233.5036629913757,0.0,-9.700391943945801
