,x_cm,y_cm,x_rec,y_rec,type,misc,out1,out2,x_px,y_px,xang,yang
0,,,,,camera_name,slayer wide 16 to 9 cal 4,,,,,,
1,,,,,lens_name,Native wide,,,,,,
2,,,,,zoom_factor,None,,,,,,
3,,,,,settings_notes,Nothing to say,,,,,,
4,,,4000.0,2250.0,cam_image_dimensions,,,,,,,
5,,,,,pixel_map_type,3d_degree_poly_fit_abs_from_center,,,,,,
6,,,,,orientation,landscape,,,,,,
7,,,,,quadrant,LB,,,,,,
8,,,,,distance,199.5,,,,,,
9,,,,,align_targets_radius,10,,,,,,
10,0.0,0.0,-1.0,-1.0,ref_point,image_center,,,1999.5,1124.5,0.0,0.0
11,0.0,0.0,2001.0,1132.0,align,target_center,,,,,,
12,0.0,-20.0,2002.0,1307.0,ref_point,y_small,,,1999.5,1299.502857119534,0.0,-5.724810452223495
13,-20.0,0.0,1823.0,1130.0,ref_point,x_small,,,1821.4887643995469,1124.5,-5.724810452223495,0.0
14,0.0,0.0,,,calculate_and_record,target_pos_xyangs_relcenter,0.16852868808424615,-0.857128863316466,,,,
15,0.0,-122.1,2000.0,2201.0,ref_point,align_v_center,,,1999.5,2193.5004677267452,0.0,-31.46788588483732
16,0.0,-122.1,1911.0,2201.0,align,align_v_left,,,,,,
17,0.0,-122.1,,,calculate_and_record,rotation_error_side_degCCW,0.052725030450368575,,,,,
18,-220.0,0.0,57.0,1128.0,ref_point,align_h_center,,,55.49588477801831,1124.5,-47.79768735275269,0.0
19,-220.0,0.0,57.0,1216.0,align,align_h_down,,,,,,
20,-220.0,0.0,,,calculate_and_record,rotation_error_top_degCCW,0.11837954129042444,,,,,
21,,,,,calculate_and_record,average_rotation_error_degCCW,0.08555228587039651,,,,,
22,0.0,-40.0,2003.0,1482.0,ref_point,,,,1999.5,1474.5057142390679,0.0,-11.337544895744237
23,0.0,-60.0,2002.0,1659.0,ref_point,,,,1999.5,1651.5009487657494,0.0,-16.738758558427644
24,0.0,-80.0,2002.0,1834.0,ref_point,,,,1999.5,1826.500712250351,0.0,-21.850909067568526
25,0.0,-100.0,2001.0,2009.0,ref_point,,,,1999.5,2001.5,0.0,-26.62246175857887
26,-20.0,-20.0,1825.0,1308.0,ref_point,,,,1825.0,1308.0,-5.6683942480567655,-5.976904274626879
27,-20.0,-40.0,1824.0,1482.0,ref_point,,,,1824.0,1482.0,-5.659901117823037,-11.582230114374019
28,-20.0,-60.0,1825.0,1660.0,ref_point,,,,1825.0,1660.0,-5.6514077380391905,-16.972082071551714
29,-20.0,-80.0,1824.0,1833.0,ref_point,,,,1824.0,1833.0,-5.64291410906752,-22.07002421331639
30,-20.0,-100.0,1823.0,2009.0,ref_point,,,,1823.0,2009.0,-5.634420231270377,-26.825687720504188
31,-20.0,-122.1,1823.0,2202.0,ref_point,,,,1823.0,2202.0,-5.625034207353655,-31.65284208584496
32,-40.0,0.0,1644.0,1130.0,ref_point,,,,1642.4943978030597,1124.5,-11.337544895744237,0.0
33,-40.0,-20.0,1648.0,1308.0,ref_point,,,,1648.0,1308.0,-11.282758838473098,-5.985387826641217
34,-40.0,-40.0,1649.0,1481.0,ref_point,,,,1649.0,1481.0,-11.274510234459765,-11.59046082072688
35,-40.0,-60.0,1649.0,1658.0,ref_point,,,,1649.0,1658.0,-11.266261156941026,-16.979927610742397
36,-40.0,-80.0,1648.0,1832.0,ref_point,,,,1648.0,1832.0,-11.258011606218117,-22.07738964948585
37,-40.0,-100.0,1648.0,2008.0,ref_point,,,,1648.0,2008.0,-11.249761582592392,-26.832517332012007
38,-40.0,-122.1,1648.0,2202.0,ref_point,,,,1648.0,2202.0,-11.240644756856954,-31.65905646039213
39,-60.0,0.0,1468.0,1131.0,ref_point,,,,1466.4990619145215,1124.5,-16.738758558427644,0.0
40,-60.0,-20.0,1473.0,1307.0,ref_point,,,,1473.0,1307.0,-16.686492870769328,-5.993871115263403
41,-60.0,-40.0,1475.0,1482.0,ref_point,,,,1475.0,1482.0,-16.678622985784084,-11.598691042109223
42,-60.0,-60.0,1475.0,1658.0,ref_point,,,,1475.0,1658.0,-16.67075245301082,-16.987772493921934
43,-60.0,-80.0,1475.0,1833.0,ref_point,,,,1475.0,1833.0,-16.662881272666624,-22.08475431766611
44,-60.0,-100.0,1474.0,2008.0,ref_point,,,,1474.0,2008.0,-16.655009444968705,-26.83934612001186
45,-60.0,-122.1,1473.0,2202.0,ref_point,,,,1473.0,2202.0,-16.646310322743663,-31.665270003815262
46,-80.0,0.0,1290.0,1129.0,ref_point,,,,1288.4936709142457,1124.5,-21.850909067568526,0.0
47,-80.0,-20.0,1295.0,1307.0,ref_point,,,,1295.0,1307.0,-21.801807576851516,-6.002354140133778
48,-80.0,-40.0,1297.0,1483.0,ref_point,,,,1297.0,1483.0,-21.794413549566016,-11.606920778224302
49,-80.0,-60.0,1298.0,1658.0,ref_point,,,,1298.0,1658.0,-21.787018759111945,-16.995616720878512
50,-80.0,-80.0,1298.0,1833.0,ref_point,,,,1298.0,1833.0,-21.779623205617554,-22.092118217733958
51,-80.0,-100.0,1297.0,2008.0,ref_point,,,,1297.0,2008.0,-21.77222688921119,-26.846174084458724
52,-80.0,-122.1,1297.0,2204.0,ref_point,,,,1297.0,2204.0,-21.76405307246068,-31.671482716134946
53,-100.0,0.0,1111.0,1128.0,ref_point,,,,1109.4910112813468,1124.5,-26.62246175857887,0.0
54,-100.0,-20.0,1117.0,1307.0,ref_point,,,,1117.0,1307.0,-26.576907254709052,-6.010836900892748
55,-100.0,-40.0,1120.0,1482.0,ref_point,,,,1120.0,1482.0,-26.57004692255344,-11.615150028775481
56,-100.0,-60.0,1122.0,1659.0,ref_point,,,,1122.0,1659.0,-26.56318576869585,-17.003460291400437
57,-100.0,-80.0,1121.0,1834.0,ref_point,,,,1121.0,1834.0,-26.556323793185463,-22.099481349566314
58,-100.0,-100.0,1121.0,2010.0,ref_point,,,,1121.0,2010.0,-26.549460996071566,-26.85300122530766
59,-100.0,-122.1,1119.0,2203.0,ref_point,,,,1119.0,2203.0,-26.541876649785,-31.677694597371865
