,x_px,y_px,xang,yang
10,0.0,-0.0,-0.0,-0.0
21,649.0192601148292,-0.0,20.0,-0.0
26,0.0,478.0041840821061,-0.0,15.0
29,156.012819986051,-0.0,5.0,-0.0
30,316.0253154416587,-0.0,10.0,-0.0
31,478.0261499123244,-0.0,15.0,-0.0
32,0.0,156.0,-0.0,5.0
33,160.5,157.5,5.179418862563053,5.07864565356598
34,320.5,155.5,10.179418862563052,5.044388081325507
35,482.5,154.5,15.179418862563052,5.010130509085035
36,0.0,315.0063491423625,-0.0,10.0
37,162.5,316.5,5.213676434803526,10.07864565356598
38,321.5,314.5,10.213676434803524,10.044388081325508
39,483.5,313.5,15.213676434803524,10.010130509085034
50,1482.1927114441428,-0.0,40.0,-0.0
55,647.5,472.5,20.028395437912955,14.250324184151735
58,829.0636990736598,-0.0,25.0,-0.0
59,1025.0844140443046,-0.0,30.0,-0.0
60,1239.1217935782943,-0.0,35.0,-0.0
61,655.5,137.5,20.228145905688525,4.250324184151735
62,834.5,146.5,25.228145905688525,4.350199418039519
63,1030.5,155.5,30.228145905688525,4.450074651927304
64,1243.5,165.5,35.22814590568852,4.549949885815088
65,652.5,303.5,20.12827067180074,9.250324184151735
66,831.5,317.5,25.12827067180074,9.35019941803952
67,1025.5,332.5,30.12827067180074,9.450074651927304
68,1238.5,348.5,35.12827067180074,9.549949885815089
84,1523.5,563.5,41.605321744140404,13.741035871265824
87,1774.302279928299,-0.0,45.0,-0.0
90,1553.5,151.5,41.605321744140404,3.741035871265824
91,1842.5,177.5,46.605321744140404,3.741035871265824
94,1539.5,356.5,41.605321744140404,8.741035871265824
95,1827.5,399.5,46.605321744140404,8.741035871265824
166,683.5,504.5,20.390625,15.758520132128647
171,0.0,1036.0364412142544,-0.0,30.0
174,173.5,499.5,5.390625,15.61968479592688
175,338.5,500.5,10.390625,15.665963241327468
176,507.5,502.5,15.390625,15.712241686728058
177,0.0,652.0156779553558,-0.0,20.0
178,176.5,671.5,5.3443465545994115,20.61968479592688
179,344.5,672.5,10.344346554599412,20.665963241327468
180,515.5,674.5,15.344346554599412,20.712241686728056
181,0.0,836.0265297534343,-0.0,25.0
182,178.5,856.5,5.298068109198822,25.61968479592688
183,351.5,857.5,10.298068109198823,25.665963241327468
184,527.5,857.5,15.298068109198823,25.712241686728056
195,1541.5,491.5,40.52696518641397,14.100367122185375
200,712.5,1031.5,20.526965186413968,29.100367122185375
203,870.5,465.5,25.526965186413968,14.100367122185375
204,1073.5,472.5,30.526965186413968,14.100367122185375
205,1292.5,481.5,35.52696518641397,14.100367122185375
206,693.5,636.5,20.526965186413968,19.100367122185375
207,882.5,649.5,25.526965186413968,19.100367122185375
208,1090.5,662.5,30.526965186413968,19.100367122185375
209,1316.5,677.5,35.52696518641397,19.100367122185375
210,703.5,826.5,20.526965186413968,24.100367122185375
211,898.5,845.5,25.526965186413968,24.100367122185375
212,1109.5,865.5,30.526965186413968,24.100367122185375
213,1342.5,888.5,35.52696518641397,24.100367122185375
232,1797.5,501.5,44.7507363786246,13.743779522679061
235,1529.5,682.5,39.7507363786246,18.74377952267906
236,1813.5,724.5,44.7507363786246,18.74377952267906
239,1543.5,902.5,39.7507363786246,23.74377952267906
240,1837.5,962.5,44.7507363786246,23.74377952267906
311,743.5,1067.5,20.014285714285716,30.79652565906969
319,179.5,1068.5,5.014285714285714,30.79652565906969
320,362.5,1067.5,10.014285714285714,30.79652565906969
321,548.5,1066.5,15.014285714285714,30.79652565906969
